111503	1.79686	260282
111388	1.84509	256595
111477	1.84174	258500
111664	1.80902	258344
111436	1.80773	258913
111532	1.91803	257328
111674	1.96471	260560
111457	1.85534	258781
111483	1.81985	257960
111600	1.80642	261783
20511	0.0881496	78248.4
35600	0.127036	107787
4385	0.0436588	28121
16775.2	0.0951466	70670
36098.6	0.154546	116164
62598.2	0.214825	159232
6740	0.0670172	38502
25612.6	0.154129	95055.2
55755.8	0.249243	152527
96956.4	0.367531	213407
17766.7	0.0731608	39050.8
17944.5	0.0822374	41579.4
17839.5	0.075702	41557.8
17856.3	0.0747024	42126
17794.3	0.0696366	40206.4
17733.4	0.0701662	40141.6
17931	0.0718804	41566.2
17817.8	0.0717026	41367.4
17533.8	0.072215	41225.6
17842	0.0697832	40248
