112128	40.8085	200636
112519	42.6872	200433
112057	45.7401	200594
112528	41.4911	201204
112419	42.2602	200415
112157	41.0087	200178
112304	40.918	201532
112449	42.0881	200196
112294	41.9301	200384
112452	42.9505	200746
20634	2.6325	204466
35727.5	4.36629	202784
4553	0.868988	216593
16817.5	2.45627	204960
36188.5	4.68921	200706
62608	7.64114	201169
6926.5	1.33132	205457
25822	3.84641	203212
55772.5	7.34511	202416
96862	11.463	201254
18048.7	1.44123	212472
18187.3	1.47889	210984
17982.9	1.42514	208925
18055.9	1.32722	203840
17940.2	1.32727	201177
17956.2	1.39312	203874
18120	1.34315	211510
17948	1.39204	204910
17762.3	1.33091	202704
18031.2	1.3082	210093
