0	50000
4	46575
8	43384.6
12	40412.8
16	37644.5
20	35065.8
24	32663.8
28	30426.4
32	28342.2
36	26400.7
40	24592.3
44	22907.7
48	21338.5
52	19876.8
56	18515.3
60	17247
64	16065.6
68	14965.1
72	13940
76	12985.1
80	12095.6
84	11267
88	10495.3
92	9776.33
96	9106.65
100	8482.84
104	7901.77
108	7360.5
112	6856.3
116	6386.65
120	5949.16
124	5541.64
128	5162.04
132	4808.44
136	4479.06
140	4172.25
144	3886.45
148	3620.23
152	3372.24
156	3141.24
160	2926.07
164	2725.63
168	2538.93
172	2365.01
176	2203.01
180	2052.1
184	1911.53
188	1780.59
192	1658.62
196	1545.01
200	1439.17
204	1340.59
208	1248.76
212	1163.22
216	1083.54
220	1009.32
224	940.178
228	875.776
232	815.785
236	759.904
240	707.851
244	659.363
248	614.196
252	572.124
256	532.933
260	496.428
264	462.422
268	430.746
272	401.24
276	373.755
281	348.153
285	324.305
289	302.09
293	281.397
297	262.121
301	244.166
305	227.44
309	211.861
313	197.348
317	183.83
321	171.237
325	159.508
329	148.581
334	138.404
338	128.923
342	120.092
346	111.865
351	104.203
356	97.0648
361	90.4158
365	84.2223
369	78.4531
373	73.0791
379	68.0732
384	63.4101
390	59.0666
394	55.0205
399	51.2516
405	47.7409
409	44.4706
414	41.4244
419	38.5868
424	35.9436
430	33.4815
439	31.188
445	29.0516
451	27.0616
457	25.2079
464	23.4811
471	21.8727
477	20.3744
482	18.9787
487	17.6787
494	16.4677
501	15.3397
507	14.2889
512	13.3101
519	12.3984
529	11.5491
534	10.758
551	10.021
562	9.33461
567	8.69519
575	8.09956
583	7.54474
599	7.02793
639	6.54652
657	6.09808
683	5.68036
699	5.29126
723	4.92881
736	4.59118
764	4.27669
788	3.98373
828	3.71085
868	3.45665
902	3.21987
935	2.99931
957	2.79386
996	2.60248
1036	2.42421
1076	2.25815
