112073	0.259307	1.06
112219	0.299649	3.375
112199	0.281972	3.615
112278	0.310694	4.035
112684	0.285821	2.615
111997	0.334614	7.455
112498	0.297083	2.71
112214	0.314464	3.9
112173	0.259414	1.095
112565	0.262792	1.195
20447.6	0.0115729	1.555
35381.9	0.0135729	1
4466.66	0.00484763	1.205
16644	0.010587	2
35934.8	0.0206853	2.495
62128.6	0.0254535	2.37
6934.05	0.00627894	1.145
25642.2	0.0167809	1.57
55400.2	0.071728	12.72
96375	0.0639032	5.48
17663.6	0.00735801	2.28
17875.2	0.00732955	2.545
17592	0.01287	3.3
17939.1	0.0074404	2.265
17675.1	0.00716391	2.135
17858.9	0.00720639	2.12
17896.4	0.00846629	2.495
17900.1	0.00651156	2.145
17519.4	0.00678151	3.25
17850.2	0.00764579	2.565
