102140	0.0293157	83.96
102174	0.0293421	82.38
101956	0.0298828	76.44
102443	0.0305875	93.06
102321	0.0299786	81.22
102226	0.0303612	85.44
102200	0.0299115	85.64
102181	0.0306856	85.78
102454	0.0303799	90.24
102098	0.0301258	77.94
18570.2	0.0065727	35.48
32949.6	0.00881526	38.6
3777.8	0.00344226	16.46
14586.8	0.00564996	24.08
32894.1	0.00862938	29.88
58106.8	0.0111801	25.48
5906.04	0.00440944	28.2
22946.2	0.0072006	36.44
51650.5	0.0116161	62.92
91189.2	0.0142993	41.3
16084.7	0.00433566	14.28
16343.7	0.00436046	17.96
15968.8	0.00431174	13.98
15750.3	0.00422692	8.44
16189.9	0.00433988	16.78
15916.7	0.00437308	10.48
15799.3	0.00436598	3.04
16191	0.0041609	14.46
15861.3	0.00421958	12.14
15924.8	0.00400212	9.76
